0	730	0.426402
1	1290	0.376752
2	1709	0.332749
3	2041	0.298043
4	2334	0.272664
5	2630	0.256036
6	2892	0.241322
7	3164	0.231016
8	3376	0.219107
9	3605	0.210572
10	3849	0.204386
11	4087	0.198939
12	4296	0.193027
13	4534	0.189169
14	4760	0.185358
15	4994	0.182316
16	5214	0.179151
17	5443	0.176629
18	5662	0.174065
19	5880	0.171729
20	6104	0.169782
21	6355	0.168729
22	6582	0.167158
23	6802	0.165547
24	7046	0.164626
25	7315	0.164338
26	7578	0.163941
27	7852	0.163802
28	8114	0.163431
29	8371	0.162987
30	8626	0.162534
31	8886	0.162201
32	9165	0.162224
33	9456	0.162452
34	9718	0.162183
35	10029	0.162724
36	10316	0.162857
37	10591	0.162798
38	10911	0.163417
39	11221	0.163858
40	11507	0.163936
41	11834	0.164581
42	12151	0.165059
43	12460	0.165410
44	12787	0.165979
45	13110	0.166472
46	13430	0.166907
47	13789	0.167798
48	14116	0.168272
49	14449	0.168797
