0	1072	0.626168
1	2066	0.603388
2	3036	0.591121
3	3971	0.579877
4	4868	0.568692
5	5732	0.558022
6	6558	0.547230
7	7399	0.540231
8	8219	0.533424
9	9000	0.525701
10	9801	0.520444
11	10567	0.514359
12	11310	0.508178
13	12044	0.502503
14	12765	0.497079
15	13473	0.491859
16	14176	0.487081
17	14874	0.482671
18	15548	0.477988
19	16203	0.473218
20	16863	0.469042
21	17507	0.464821
22	18131	0.460458
23	18765	0.456703
24	19393	0.453107
25	19994	0.449182
26	20588	0.445396
27	21171	0.441651
28	21776	0.438608
29	22364	0.435436
30	22952	0.432469
31	23511	0.429158
32	24071	0.426066
33	24643	0.423361
34	25213	0.420778
35	25761	0.417981
36	26316	0.415446
37	26847	0.412675
38	27367	0.409882
39	27894	0.407331
40	28425	0.404961
41	28916	0.402147
42	29422	0.399669
43	29940	0.397462
44	30417	0.394821
45	30922	0.392650
46	31406	0.390311
47	31910	0.388313
48	32386	0.386062
49	32867	0.383960
