0	1171	0.683995
1	2322	0.678154
2	3461	0.673871
3	4560	0.665888
4	5646	0.659579
5	6746	0.656737
6	7821	0.652620
7	8892	0.649241
8	9941	0.645184
9	10979	0.641297
10	11952	0.634664
11	12988	0.632204
12	13972	0.627786
13	14994	0.625584
14	15991	0.622702
15	17001	0.620656
16	17972	0.617510
17	18918	0.613902
18	19915	0.612242
19	20882	0.609871
20	21824	0.607032
21	22771	0.604583
22	23726	0.602550
23	24652	0.599981
24	25587	0.597827
25	26512	0.595615
26	27426	0.593328
27	28353	0.591476
28	29245	0.589047
29	30158	0.587188
30	31058	0.585205
31	31948	0.583163
32	32816	0.580855
33	33695	0.578872
34	34562	0.576802
35	35421	0.574718
36	36316	0.573314
37	37195	0.571738
38	38070	0.570183
39	38930	0.568487
40	39777	0.566689
41	40672	0.565643
42	41527	0.564103
43	42376	0.562553
44	43204	0.560800
45	44041	0.559237
46	44878	0.557740
47	45707	0.556209
48	46556	0.554978
49	47393	0.553657
